ESRB_rating,average_user_score,developer,genres,metascore,platform,publisher,release_date,summary,title,url
T,6.9,Capcom,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",67.0,PlayStation 3,Capcom,"Feb 26, 2008","Driven to the brink of extinction in ice-covered wastelands, humankind fights to survive, from the deadly elements to the hostile alien creatures known as the Akrid. With only fragments of his memory intact, Wayne Holden must struggle to recover his past and the answers to E.D.N. III's secrets. While the search for the truth could lead to valuable allies and a means to save humanity, what he finds instead could be worse than he ever imagined! PSN Enabled: 16 diverse multiplayer maps right out of the box. 16 Player multiplayer cooperative and versus battles. On-Foot and In-Vehicle Modes: Command heavily armed bipedal vehicles or switch to more stealthy exploration on-foot. Vast and Vivid Environments: Snowstorms, arctic winds, towering buildings and mountains of ice create cinematic stunning visuals and breathtaking landscapes. Next-Gen Realism: Immerse yourself in the brutal chilling world of Lost Planet as you labor through waist-deep snow, hear the crunch of ice with each step, and fly backward from explosive force during battle. Alien Encounters: Face off with an array of Akrid, from massive rolling behemoths and long-legged ground-dwellers to fast-flying swarms overhead. [Capcom]",Lost Planet: Extreme Condition,https://www.metacritic.com/game/playstation-3/lost-planet-extreme-condition
E,1.8,"Art Co., Ltd.","Miscellaneous, Party, Party, Party / Minigame",11.0,Wii U,D3Publisher,"Dec  4, 2012",,Family Party: 30 Great Games Obstacle Arcade,https://www.metacritic.com/game/wii-u/family-party-30-great-games-obstacle-arcade
M,1.3,"Eutechnyx, Deep Silver","Driving, Modern, Racing, Motorcycle, Motocross, Modern, Action Adventure, General",16.0,PC,Deep Silver,"Jun 24, 2013","The game is set in the last years of the roaring 1960s, a time of sex, drugs and rock 'n' roll. The biker movement, rock music and the hippie counterculture all add to the fascinating atmosphere to be experienced in Ride to Hell. Action-loaded from the very start with free roaming environments, players can immerse themselves in the liberty and freedom of riding full throttle with their gang on a multitude of different vehicles through the dusty flats of Western America. Protecting their turf, their brothers and their machines from rival gangs is just a taste of what this epic game involves. Ride to Hell is not for the faint-hearted; it's aimed heavily at the player who wants to become fully involved in the original West Coast biker culture. With its hard drinking, bare-knuckle environment, this is as close to the action as you can get. [Deep Silver]",Ride to Hell: Retribution,https://www.metacritic.com/game/pc/ride-to-hell-retribution
E10+,4.3,Backbone Entertainment,"Driving, Racing, Arcade, Arcade, Automobile",17.0,Xbox 360,Backbone Entertainment,"Oct 10, 2007","[Xbox Live Arcade]  Hop into a Toyota Yaris and drive it on crazy tracks loaded with stubborn obstacles, cool powerups, and intense enemy action. The relentlessly twisted courses in Yaris might have loops or even be tube-shaped, but the Yaris never has to worry about sliding off track, as it defies gravity by scaling side-walls and going all topsy-turvy. Equip your Yaris with an arsenal of weapons to take out your adversaries, but be careful to avoid enemy fire, because once your shields are depleted, so is the game. Customizable cars: Drive either a Yaris Sedan, Sports Sedan, or the Liftback. Collect coins on the track and outfit your Yaris with weapons, shields, and tire configurations. Game modes: Race and take out your enemies in either single player or player vs. player game mode. Wild tracks: Drive on eight different tracks of progressive difficulty. FREE download: Yaris is a free Xbox Live Arcade game. Play it today. Gallery feature: Browse through the game's cast of characters, including all the Yaris cars. Twelve new achievements and new Leaderboard: Twelve new achievements to unlock, and a new Xbox LIVE Arcade leaderboard for you to dominate. [Microsoft]",Yaris,https://www.metacritic.com/game/xbox-360/yaris
M,1.9,Team17,"Action Adventure, Adventure, Third-Person, Open-World, Modern, Modern",17.0,PlayStation 3,Funsta,"May  5, 2009","The Leisure Suit Larry: Box Office Bust video game gives gamers an all-access pass to the glitz, glamour and gorgeous women of Tinseltown. In this 3rd person adventure game, Larry takes a summer job working on his uncle Larry’s movie lot doing odd jobs and trying to uncover a mole from another studio who threatens to air the studio's dirty laundry in the tabloids. Leisure Suit Larry: Box Office Bust is a rollicking, innuendo-laden lampoon of Hollywood that features open world sand box game play that includes exploration, platforming, racing and puzzle-solving to complete missions.  Additionally, the game features an all-new Directors Game that allows the player to create their very own ""Larry Feature."" True to form, Leisure Suit Larry Box Office Bust features sophomoric comedy and bombshell babes thanks to the writing talents of Allen Covert and an All-Star cast of actors and actresses, including Jay Mohr, Dave Attell, Shannon Elizabeth, Carmen Elektra, Patrick Warburton, Jeffrey Tambor, Nikki Cox, Peter Graves, Jane Lynch and Josh Keaton as the voice of Larry Loveage. [Sierra Entertainment]",Leisure Suit Larry: Box Office Bust,https://www.metacritic.com/game/playstation-3/leisure-suit-larry-box-office-bust
E,3.1,Poisoft,"Sports, Individual, Biking",17.0,Switch,Poisoft,"Apr  5, 2017","Vroom in the night sky is a magical bike action game.",Vroom in the Night Sky,https://www.metacritic.com/game/switch/vroom-in-the-night-sky
T,1.5,"Gravity Corporation, Gravity","Action, Beat-'Em-Up, Beat-'Em-Up, 2D",17.0,Xbox 360,Cyberfront Korea Corp,"Apr  5, 2013",,Double Dragon II: Wander of the Dragons,https://www.metacritic.com/game/xbox-360/double-dragon-ii-wander-of-the-dragons
E,3.7,Pronto Games,"Driving, Racing, Arcade, Arcade, Automobile",18.0,Wii,D2C Games,"Jul  7, 2008","[WiiWare]  Race along in distinctively unique SPOGS Racers that can be personalized, customized and modified with in-game images and vehicle parts. Gamers control their SPOGS as they try their best to smash into their opponents to steal upgraded parts on-the-fly in the title's innovative Crash 'N Grab gameplay. Featuring several game modes, a variety of track types including outrageous stunt tracks with loops and jumps, multiple difficultly modes and control schemes, racing power-ups, weapons, and head-to-head multiplayer, SPOGS Racing offers plenty of fun for gamers of all ages and experiences. [D2C Games]",SPOGS Racing,https://www.metacritic.com/game/wii/spogs-racing
M,1.3,"Eutechnyx, Deep Silver","Driving, Action Adventure, Modern, Racing, General, Modern, Motorcycle, Motocross",19.0,Xbox 360,Deep Silver,"Jun 25, 2013","The game is set in the last years of the roaring 1960s, a time of sex, drugs and rock 'n' roll. The biker movement, rock music and the hippie counterculture all add to the fascinating atmosphere to be experienced in Ride to Hell. Action-loaded from the very start with free roaming environments, players can immerse themselves in the liberty and freedom of riding full throttle with their gang on a multitude of different vehicles through the dusty flats of Western America. Protecting their turf, their brothers and their machines from rival gangs is just a taste of what this epic game involves. Ride to Hell is not for the faint-hearted; it's aimed heavily at the player who wants to become fully involved in the original West Coast biker culture. With its hard drinking, bare-knuckle environment, this is as close to the action as you can get. [Deep Silver]",Ride to Hell: Retribution,https://www.metacritic.com/game/xbox-360/ride-to-hell-retribution
,1.3,Pure FPS,"Horror, Action Adventure, Survival",19.0,PC,Atari,"Jun 11, 2015",,Alone in the Dark: Illumination,https://www.metacritic.com/game/pc/alone-in-the-dark-illumination
E,2.2,Artefacts Studio,"Miscellaneous, Trivia / Game Show, Trivia / Game Show",20.0,DS,Destination Software,"Jul 23, 2007",,Deal or No Deal,https://www.metacritic.com/game/ds/deal-or-no-deal
M,2.0,Team17,"Action Adventure, Adventure, Third-Person, Open-World, Modern, Modern",20.0,PC,Funsta,"Mar 31, 2009","The Leisure Suit Larry: Box Office Bust video game gives gamers an all-access pass to the glitz, glamour and gorgeous women of Tinseltown. In this 3rd person adventure game, Larry takes a summer job working on his uncle Larry’s movie lot doing odd jobs and trying to uncover a mole from another studio who threatens to air the studio's dirty laundry in the tabloids. Leisure Suit Larry: Box Office Bust is a rollicking, innuendo-laden lampoon of Hollywood that features open world sand box game play that includes exploration, platforming, racing and puzzle-solving to complete missions.  Additionally, the game features an all-new Directors Game that allows the player to create their very own ""Larry Feature."" True to form, Leisure Suit Larry Box Office Bust features sophomoric comedy and bombshell babes thanks to the writing talents of Allen Covert and an All-Star cast of actors and actresses, including Jay Mohr, Dave Attell, Shannon Elizabeth, Carmen Elektra, Patrick Warburton, Jeffrey Tambor, Nikki Cox, Peter Graves, Jane Lynch and Josh Keaton as the voice of Larry Loveage. [Sierra Entertainment]",Leisure Suit Larry: Box Office Bust,https://www.metacritic.com/game/pc/leisure-suit-larry-box-office-bust
M,1.7,Hammerpoint Interactive,"Massively Multiplayer Online, Modern, Role-Playing, Massively Multiplayer",20.0,PC,Arktos Entertainment,"Oct 15, 2012","(Formerly known as ""The War Z"") It has been 5 years since the outbreak, giving rise to a post-apocalyptic nightmare with 95% of the human race wiped out. To survive, you'll require food, weapons, and other supplies. Some of you will scavenge as you negotiate the terrain, others will be forced to fight for survival as they encounter zombies and other players. Every decision has an effect on whether you live or how quickly you meet your death.",Infestation: Survivor Stories (The War Z),https://www.metacritic.com/game/pc/infestation-survivor-stories-the-war-z
M,2.7,Versus Evil,"Action, Beat-'Em-Up, 2D",21.0,PlayStation 4,Versus Evil,"Sep 22, 2015",,Afro Samurai 2: Revenge of Kuma Volume One,https://www.metacritic.com/game/playstation-4/afro-samurai-2-revenge-of-kuma-volume-one
T,1.7,Idol FX,"Action, Shooter, Third-Person, Fantasy",22.0,Xbox,Majesco Games,"Nov  3, 2003","Drake is out for revenge in a supernatural Hong Kong world. You'll join Drake in 25 intense missions, as he battles ruthless villains and female assassins with an array of firearms, short and long blade weapons, and thrown melee weapons. Use Drake's power and agility to slow down the action, fire guns in any direction, and run and backflip off of walls. When you become injured, you can feed on the souls of the dead to replenish your health.",Drake of the 99 Dragons,https://www.metacritic.com/game/xbox/drake-of-the-99-dragons
T,1.3,"Activision, Firebrand Games","Driving, Racing, Arcade, GT / Street, GT / Street, Automobile",22.0,Xbox 360,Activision,"May 21, 2013","Fast & Furious: Showdown takes some of the franchise’s iconic characters on a high-stakes adventure around the globe that delivers takedowns, heists, hijacks and havoc. Players can switch roles with their AI partners or team up with a friend for two-person local co-op. Completed objectives unlock new vehicle performance and customization options to make each player’s ride unique. A bonus Challenge Mode and online leaderboards let players pit their strength, speed and skills against competition from all around the world.",Fast & Furious: Showdown,https://www.metacritic.com/game/xbox-360/fast-furious-showdown
M,1.7,Teyon,"Action, General",23.0,PlayStation 3,Reef Entertainment,"Apr 29, 2014","RAMBO The Vidoegame puts players in Rambo’s combat boots and takes them on an action-packed adventure through the iconic action- sequences and story-arcs of FIRST BLOOD, RAMBO: FIRST BLOOD PART II  & RAMBO III. The game features the original movie voice-tracks of John Rambo and Col. Samuel Trautman as well as selected music from the original Rambo Trilogy. ",Rambo: The Video Game,https://www.metacritic.com/game/playstation-3/rambo-the-video-game
T,4.4,Neko Entertainment,"Action, Beat-'Em-Up",23.0,GameCube,Ubisoft,"Jul  9, 2003","Join Natalie, Dylan, and Alex for an intense adventure based on the Charlie's Angels movies. You'll need various disguises, clever tactics, and acrobatic martial arts moves to ensure a successful mission. Master the different styles of all three Angels as you battle 32 different types of enemies across the globe. You can switch between characters at anytime during the game. Charlie's Angel's movie stars--Cameron Diaz, Lucy Liu, Drew Barrymore, and Bernie Mac--supply the voices.",Charlie's Angels,https://www.metacritic.com/game/gamecube/charlies-angels
E,3.0,Webfoot Technologies,"Driving, Racing, Kart, Kart",23.0,DS,Destineer,"Mar  5, 2008","Homie Rollerz is a fast-paced, mayhem-laden kart racer where players can pick one of the 10 most popular Homies, customize their slick rides, then trick, hop, and battle through courses with settings, shortcuts, and secrets as unique as the Homies themselves. Trick Out and Roll Out: Earn respect points by doing stunts and winning races, then cash them in to trick out your car. Use the stylus to paint and mod your ride, fit your car with a better engine and exhaust system for more speed, beef up your suspension and hydraulic systems for better turning and cooler tricks when racing. Rivalries and Respect: Challenge your fellow Homies on their turf. Beat Jokawild under the big top in the Homie Circus or drag race down Venice Beach against Big Loco. To win, you’ve got to learn the hoods, find the shortcuts, earn respect, and show your Homies who owns the street. Multiplayer: Is one of your friends challenging your street cred? Show them who owns the hood with up to 8 players via Local Wireless or four players via Nintendo® Wi-Fi Connection. Homie Rollerz also supports Download Play, so you and another Homie can play a trial version using only one cart! Get to Know the Homies: Play as one of 10 slick Homies and enter the “Wizard Circuit,” a mysterious racing series through which the winner is granted a single wish by the wise and legendary Homie known as Wizard. Each character has a unique vehicle that can be upgraded in the garage for improved stats. Learn what’s motivating each of your Homies: Why is Alien Ese stuck on Earth and how can he get back home? How did Zombie become undead and will he ever return to the land of the living? [Destineer]",Homie Rollerz,https://www.metacritic.com/game/ds/homie-rollerz
,3.1,"Team6 Game Studios, Team 6 Games Studio","Driving, Racing, Demolition Derby, Arcade, Automobile",23.0,PC,Strategy First,"Dec 13, 2011","FlatOut 3: Chaos & Destruction brings a new dimension to high speed destruction racing.",FlatOut 3: Chaos & Destruction,https://www.metacritic.com/game/pc/flatout-3-chaos-destruction
T,2.8,Ubisoft,"Sports, General, General",23.0,Xbox One,Ubisoft,"Nov 19, 2013","Unleash your inner fighter to beat your friends with your bare knuckles. Discover Fighter Within, the next-gen game that provides you with the excitement of a real fight, throwing you into a total-body combat experience. Test your real fighting skills thanks to the next gen of motion recognition. Kinect for Xbox One arms the game with realistic fighting moves using 1:1 precision movement tracking. Enter a brutal, physical, and liberating world: Next-gen graphics, real-time wounds, sweat, and facial impacts in extreme arena environments and primal animations… Kinect allows you to dive into a realistic experience and really feel the fight. Enter a world of sweat, timing, and training.",Fighter Within,https://www.metacritic.com/game/xbox-one/fighter-within
E,2.2,Jaleco Entertainment,"Driving, Racing, Futuristic",24.0,Xbox,Jaleco Entertainment,"Jan  2, 2003","Pulse Racer takes you to a future where racers careen toward the clouds in sleek vehicles to gain an advantage over the competition. As a racer, you'll need a risk-taking mentality; but more importantly, you'll need a vehicle that suits your driving style and a driver who matches your technique. Linked directly to your vehicle, your body will be pushed to the limit in a variety of high-speed tracks. Harass your opponents with missiles, mines, or direct plasma beams and slingshot around tight turns.",Pulse Racer,https://www.metacritic.com/game/xbox/pulse-racer
E,3.6,Powerhead Games,"Action, Fighting, Wrestling",24.0,Game Boy Advance,Acclaim,"Nov 25, 2002","Legends of Wrestling II takes you through the wrestling hall of fame with the top grapplers that are battling for squared-circle supremacy. Play as your favorite wrestler--including Hulk Hogan, Andre ""The Giant,"" and Bret ""Hitman"" Hart--each with signature entrances, taunts, and moves. A new storyline and career mode let you battle for the respect of promoters and fans while fighting for the heavyweight championship crown. The game also features tag-team tournaments, a $15,000 Body Slam Challenge, and a variety of match types.",Legends of Wrestling II,https://www.metacritic.com/game/game-boy-advance/legends-of-wrestling-ii
E,3.4,"Phosphor Games Studio, LLC","Miscellaneous, Party, Party, Party / Minigame",24.0,Wii U,Warner Bros. Interactive Entertainment,"Nov 18, 2012","Game Party Champions is the fifth and latest installment of the Game Party franchise and available exclusively for Wii U. The game’s pick-up and play style promises to appeal to experienced and new gamers alike. Using the system’s innovative new GamePad, players tilt, turn and touch the controller to play arcade, sports and party games in entirely new ways.",Game Party Champions,https://www.metacritic.com/game/wii-u/game-party-champions
,2.9,Running With Scissors,"First-Person, Modern, Action, Shooter, Shooter, Third-Person, Modern, Arcade",24.0,PC,Running With Scissors,"Dec 21, 2011",,Postal III,https://www.metacritic.com/game/pc/postal-iii
T,3.4,Midway,"Sports, Alternative, Biking",24.0,PlayStation 2,Midway,"Jun 27, 2002","Gravity Games Bike: Street. Vert. Dirt. delivers the most extreme BMX action available for the next-generation systems. It takes the hottest action-sport to the next level with 21 skilled riders, 10 huge Street, Vert and Dirt courses, and more than 1,500 wicked tricks. Control one of seven professional bike riders, including Fuzzy Hall, Dennis McCoy, Jamie Bestwick, Andre Ellison, Leigh Ramsdell, Reuel Erickson, and Matt Beringer. If you're good enough to handle these intense challenges, you'll get the Gravity Games Gold Medal in the Street, Vert, or Dirt competitions...and if you're really good, you'll get the Gold in all three. [Midway]",Gravity Games Bike: Street Vert Dirt,https://www.metacritic.com/game/playstation-2/gravity-games-bike-street-vert-dirt
T,2.4,Ladyluck Digital Media,"Action, Shooter, Shooter, First-Person, Sci-Fi, Arcade",24.0,PC,Tri Synergy,"Jul  6, 2006","Without warning, the world is overrun by an alien invasion. The Earth is in chaos. You are John Armstrong, a medical student drafted in to the National Guard. On a critical mission that may help turn the tide, your team is wiped out. Now success depends on you. Will you rise up to the challenge? [Tri Synergy]",Terrawars: New York Invasion,https://www.metacritic.com/game/pc/terrawars-new-york-invasion
E,1.8,A.C.R.O.N.Y.M. Games,"Sports, Traditional, Basketball, Arcade, Arcade",24.0,PlayStation 3,Tecmo,"Nov 12, 2009","[Playstation Network]  Paying homage to the old school look and feel of the arcade classics, NBA Unrivaled brings back all of the intensity and pulse pounding action - AMPLIFIED! Hit the hardwood with the 2009-2010 NBA season's team and player rosters with current stats, logos and jerseys. Ball your way up to the top of the league with unthinkable slams and outrageous plays to get the crowd pumped for momentum on your side! Momentum mania! As you play for points, you will also play to fill up your Momentum Gauge. Once the Momentum gauge is maxed out, the team goes into Momentum Mania, which boosts offensive and defensive abilities, allowing for flashier, bigger plays. Non-stop action: Experience electrifying effects, outrageous dunks, and fast paced action where no other basketball game has gone before. Authentic rosters: Boasting all 30 NBA teams and the top players from the latest 2009-2010 Rosters, choose your team to compete in full five-on-five team arcade-style gameplay. Multiple modes: Grab a friend to play in online or offline multiplayer mode -- player vs. player, or two players vs. CPU. [Tecmo]",NBA Unrivaled,https://www.metacritic.com/game/playstation-3/nba-unrivaled
E,3.7,Midway Studios - San Diego,"Driving, Racing, Arcade, Arcade, Automobile",25.0,Wii,Midway,"Nov 27, 2007","An all new version of the classic Midway arcade racer, Cruis’n has come exclusively to the Wii. Choose your ride from an impressive lineup of licensed cars and experience a rush of adrenaline as you race opponents through twelve different street circuits using the Wii Remote to steer and perform outrageous stunts. Win races and earn upgrades including: turbos, body kits, neon and nitrous, allowing you to create the ultimate ride. [Midway]",Cruis'n,https://www.metacritic.com/game/wii/cruisn
E,4.3,A.C.R.O.N.Y.M. Games,"Sports, Traditional, Basketball, Arcade, Arcade",25.0,Xbox 360,Tecmo,"Nov 11, 2009","[Xbox Live Arcade]  Paying homage to the old school look and feel of the arcade classics, NBA Unrivaled brings back all of the intensity and pulse pounding action - AMPLIFIED! Hit the hardwood with the 2009-2010 NBA season's team and player rosters with current stats, logos and jerseys. Ball your way up to the top of the league with unthinkable slams and outrageous plays to get the crowd pumped for momentum on your side! Momentum mania! As you play for points, you will also play to fill up your Momentum Gauge. Once the Momentum gauge is maxed out, the team goes into Momentum Mania, which boosts offensive and defensive abilities, allowing for flashier, bigger plays. Non-stop action: Experience electrifying effects, outrageous dunks, and fast paced action where no other basketball game has gone before. Authentic rosters: Boasting all 30 NBA teams and the top players from the latest 2009-2010 Rosters, choose your team to compete in full five-on-five team arcade-style gameplay. Multiple modes: Grab a friend to play in online or offline multiplayer mode -- player vs. player, or two players vs. CPU. [Tecmo]",NBA Unrivaled,https://www.metacritic.com/game/xbox-360/nba-unrivaled
,4.4,"N-Game Studios, Black Wing Foundation","Strategy, Real-Time, Military, General",25.0,PC,Mezmer Games,"Apr 29, 2009","Stalin vs. Martians, as the name suggests, is a game both absolutely ridiculous and over-the-top. Fun and accessible, it takes a simple arcade-like approach to the genre of real-time strategy. The player controls the Red Army as it defends Earth from the Martian Invasion of 1942, the highly classified military operation which even today remains a closely guarded state secret. Stalin himself conducts the mission briefings, and later even becomes a playable unit. The bold leader is duly serious even as he faces the most ridiculous threat the world has ever known. The game itself is far from standard RTS fare; this is not a realistic and deeply strategic war simulation, but a straightforward, fun and light-hearted arcade-style game complete with power-ups falling from conquered foes in the form of bright shiny coins. [Mezmer Games]",Stalin vs. Martians,https://www.metacritic.com/game/pc/stalin-vs-martians
T,3.3,HotGen,"Action Adventure, Fantasy",25.0,Xbox,Kemco,"Mar 18, 2003","Batman, the Dark Knight detective of Gotham City, is back in an all-new adventure. In Batman: Dark Tomorrow, it's up to Batman to solve the mystery and save the day. The legendary Caped Crusader must use all his mental and physical skills, batglider capabilities, devices from his utility belt, and sleuthing prowess to fight crime and defeat enemies. You must battle both new and familiar enemies, including Mr. Freeze, Poison Ivy, and the Joker. But in some missions, stealth is just as important as brute force.",Batman: Dark Tomorrow,https://www.metacritic.com/game/xbox/batman-dark-tomorrow
